Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),4185,612923649,182083582,21917913,2428086,204221286,1
Euro (U.E.),0,0,3739273,0,0,0,1
Guaraní (Paraguay),42787891,19593365,454815,0,0,0,1
Dólar (E.U.A.),2898291721,0,0,384164575,3815051,0,1
Euro (U.E.),0,0,3739273,0,0,0,1
Guaraní (Paraguay),241153729,19593365,5018267,10066417,0,0,1
