Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),44177,5750368632,1917082894,274080529,35804475,6276050217
Euro (U.E.),0,0,37491467,0,0,0
Guaraní (Paraguay),534668102,564241121,29656763,0,0,0
