Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),83000000,66000000,17000000,12000000,38000000,662000000
Euro (U.E.),0,0,3000000,0,0,0
