Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),2009569492,161801749,31553025305,1455748379,25985324956,10803024659
Euro (U.E.),18457974752,0,12134541597,3807780211,14899240476,0
Real (Brasil),3859753,0,0,0,1771703,0
Dólar (Australia),2669707255,258264189,1805272,0,-199828,0
Boliviano (Bolivia),4552135287,0,1536276481,101209537,1267236582,0
Libra (Egipto),135853320,0,0,68833737,17940371,0
Dinar (argelia),45617779,0,2189087655,51484368,90156521,0
Rupia (India),1070858,0,10118856,2680698,0,0
Otras monedas (los demás países),5310838,0,1557769885,32620415,30420866,0
