Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),388408448,935408853,2230732695,90564,1913785756,527162862,1
Euro (U.E.),1070022825,2875862,552744606,64005531,1312159954,0,1
Real (Brasil),219783,0,0,0,229165,0,1
Dólar (Australia),77408044,0,41144598,275281,317554661,0,1
Boliviano (Bolivia),757626289,9139917,483331302,156362719,381764416,0,1
Libra (Egipto),532675,939765,0,8955534,14612296,0,1
Dinar (argelia),2060067,2392571,252115829,7062101,4150822,0,1
Rupia (India),905103,0,217490,179846,5279320,0,1
Otras monedas (los demás países),1628022,0,1811357,0,2884656,0,1
