Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),884352147.00,6401124488.00,51482620251.00,1609109370.00,28171589867.00,21775333386.00
Euro (U.E.),20824482051,7181871095,29767531663,10145637455,37147232061,0.00
Real (Brasil),9543018,0,30083,0,473000,0
Dólar (Australia),831567933,0,6622217,12157528,0,0
Boliviano (Bolivia),6135983729,0,2128660151,125169713,996862697,0
Libra (Egipto),5882668,0,3238975.00,76279244.00,228140200,0
Dinar (argelia),83799033,0,3319935832,111291227,63521005,0
Rupia (India),1639060,0,7644791,4408574,15393071,0
Riyal (Arabia Saudita),3808353,0,94852505,19904488,65130188,0
Otras monedas (los demás países),5973694,0,1013126450,0,2185866,0
