Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),741289312,3668080059,52798341657,1529737500,28559153019,19885170782
Euro (U.E.),27474706387,9795610231,19330542887,7661238378,14737627707,0
Real (Brasil),1244708,0,0,0,1493511,0
Dólar (Australia),644422719,1453136645,418470712,11490554,0,0
Boliviano (Bolivia),5647548607,0,1910392287,99591477,941873958,0
Libra (Egipto),4694770,0,0,70708967,11843507,0
Dinar (argelia),29686382,0,2908148481,95015108,132651544,0
Rupia (India),1476538,0,9992446,3973652,0,0
Otras monedas (los demás países),15382802,0,68611122,2127279350,126547167,0
