Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),752079872,891237551,2098745485,139997.00,2310976468,624152718,1
Euro (U.E.),694725235,37051045,298535676,63813225,737658466,0,1
Real (Brasil),174007,0,1918,0,195388,0,1
Dólar (Australia),63216167,0,36874212,182501,288747240,0,1
Boliviano (Bolivia),288033532,8840309,511802849,148660517,707492346,0,1
Libra (Egipto),983907,809805,1215986,7358203,24804900,0,1
Dinar (argelia),2091183,3031818,232609444,6173469,5953598,0,1
Rupia (India),1291423,0,193898,149518,4354100,0,1
Otras monedas (los demás países),475913,0,1718137,0,2582915,0,1
