Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),470991735,859608673,8193975950,372168720,6453552901,1839217513,1
Euro (U.E.),2540268881,536873302,1461089501,621829041,1472974407,0,1
Dólar (Australia),25476245,246903030,365358,782173,667197715,0,1
Real (Brasil),267538,0,0,0,404878,0,1
Boliviano (Bolivia),1788777826,0,413522219,138142876,205742157,0,1
Libra (Egipto),52675060,0,0,17608795,7351644,0,1
Dinar (argelia),9121026,0,507876794,15255601,19291459,0,1
Rupia (India),2516619,0,922828,543282,2165499,0,1
Otras monedas (los demás países),22184666,0,130304304,0,4720,0,1
