Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),387907329,556809283,5267484763,319877250,3841456220,1681033062,1
Euro (U.E.),1755741440,932799944,925696302,258478531,584924784,0,1
Real (Brasil),293754,0,0,0,332995,0,1
Dólar (Australia),24197271,201661586,336817,518505,556687570,0,1
Boliviano (Bolivia),1565153250,0,411744857,93409138,188820687,0,1
Libra (Egipto),49083620,0,0,20011084,11230401,0,1
Dinar (argelia),1500374,0,410057368,12215041,16023449,0,1
Rupia (India),2812510,0,1270947,392499,1837104,0,1
Otras monedas (los demás países),18847502,0,284595841,0,3052,0,1
