Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),297475098,1221285348,2515207770,582011,2044714340,1078916080,1
UVA (Argentina),157522649.00,115371407,503575785,38544604,1274043873,0,1
Real (Brasil),495006,0,45122492,0,51397,0,1
Dólar (Australia),1049126,385324,0,140382,155614935,0,1
Boliviano (Bolivia),370064941,1620381,441385064,5119984,68372562,0,1
Libra (Egipto),5931772,621083,0,2269596,12247774,0,1
Dinar (argelia),7690608,8284745,136009513,4426640,27375970,0,1
Otras monedas (los demás países),5752428,0,122416,25379,3106220,0,1
