Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),480473071,331680482,2033502115,410716,1591486228,641309101,1
UVA (Argentina),123660629,19991220,156283265,3353561,466993284,5504839.00,1
Real (Brasil),222307,24801663,2240,48183142,81244108,0,1
Dólar (Australia),17187962,0,10738125,203778,160529053,0,1
Boliviano (Bolivia),535705505,5229264,583979514,8974125,87036371,0,1
Libra (Egipto),5181120,607212,0,4344827,7090218,0,1
Dinar (argelia),11015082,4491072,20697983,5027608,6452667,0,1
Rupia (India),1707739,0,97108,51903,125759,0,1
Otras monedas (los demás países),4059378,0,7812,0,2224373,0,1
