Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),309336061,2073398064,4251921283,438535,4422859315,988994636,1
Euro (U.E.),1349273160,358170679,569042511,187507608,2896268709,13372538,1
Real (Brasil),343467,0,0,0,264537,0,1
Dólar (Australia),61624916,146093271,247327,446164,418621541,0,1
Boliviano (Bolivia),1194144095,0,458067747,151885284,340599366,0,1
Libra (Egipto),826913,0,0,15539511,21118881,0,1
Dinar (argelia),493294,0,306720715,8959774,5793258,0,1
Rupia (India),404713,0,2971794,266108,8551044,0,1
Otras monedas (los demás países),13245570,0,247232845,0,63804137,0,1
