Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),705302048,1518631229,13937885821,1504800000,30723171513,10838320981
Euro (U.E.),10627403795,4380587035,16426041738,6463988904,30165489337,0
Real (Brasil),4173745,0,0,0,14000003,0
Dólar (Australia),2574925939,768121378,8508368,9343969,0,0
Boliviano (Bolivia),4321158397,0,22160512,124289497,1596018262,0
Libra (Egipto),111813333,0,0,62138358,6667277,0
Dinar (argelia),11375330,0,21307368,85814603,107108205,0
Rupia (India),1289096,0,5308385,3470161,0,0
Otras monedas (los demás países),4630416,0,1331606054,0,63586646,0
