Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),556162609,330064389,2365688226,810116,1748730261,1232397091,1
UVA (Argentina),53746726,73301307,624337032,37684466,1520770224,0,1
Real (Brasil),190110,13138995,4277,0,81322563,0,1
Dólar (Australia),12610608,2665600,140542,165514,163690131,0,1
Boliviano (Bolivia),354081629,32939548,478670218,5792283,157140169,0,1
Libra (Egipto),1837342,640680,0,2961577,12340289,0,1
Dinar (argelia),20047285,529497307,147638809,5559671,32623714,0,1
Otras monedas (los demás países),6658612,0,915111,45222,2353627,0,1
