Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),707767001,578683783,1917953374,279970,2151488469,586519047,1
Euro (U.E.),26046844,32081676,108727820,78560503,739266144,204363,1
Real (Brasil),243928,0,954,0,98044494,0,1
Dólar (Australia),64276746,0,8564445,225360,216764294,0,1
Boliviano (Bolivia),626441687,7868400,784963873,1940116,195227310.00,0,0
Libra (Egipto),2427022,786026,0,4367697,12453836,0,0
Dinar (argelia),8550254,5247181,21089107,5113351,-2826088,0,0
Rupia (India),15890,0,247676,77055,395211,0,1
Otras monedas (los demás países),3991922,0,370782876,0,259696,0,1
