Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),753206632,648588536,2015113637,0,1854041850,717591675,1
Euro (U.E.),90491839,0,174986248,0,1054138887,0,1
Real (Brasil),87520,0,3247693,0,10204539,0,1
Dólar (Australia),27784546,0,6654395,328612,258439119,0,1
Boliviano (Bolivia),359472413,8610242,489648002,172357282,692590155,0,1
Libra (Egipto),496414,794989,0,6831298,14294936,0,1
Dinar (argelia),9631492,3789450,213977174,6219975,6456994,0,1
Rupia (India),2496571,0,299781,115157,650518,0,1
Otras monedas (los demás países),408670,0,296777,0,3724496,0,1
