Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),916900270,1799083465,14235701694,656389495,8176275671,6182621593
Euro (U.E.),8365922177,418422786,4497619093,759508958,2695338111,0
Real (Brasil),1744566,0,0,0,740028,0
Dólar (Australia),1268966771,507269499,718479,2862089,0,0
Boliviano (Bolivia),2203785892,0,726984264,74426257,301769206,0
Libra (Egipto),53367603,0,0,27482416,3523178,0
Dinar (argelia),9341750,0,928995882,27801551,39150765,0
Rupia (India),533712,0,3937870,1160339,0,0
Otras monedas (los demás países),1662103,0,190260342,0,12885231,0
