Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),2237978599,2313447407,13472433996,1529250787,28957707148,12118859516
Euro (U.E.),12816136307,8720789631,14063601248,2989200214,15404600914,0
Real (Brasil),4069516,0,0,0,1637830,0
Dólar (Australia),2465964152,804161713,8313,0,0,0
Boliviano (Bolivia),4574301314,0,58124228,142615014,1388302076,0
Libra (Egipto),104737136,0,0,51137559,5653753,0
Dinar (argelia),16111192,0,26395494,52694170,103400635,0
Rupia (India),873189,0,341024,3270105,0,0
Otras monedas (los demás países),4690350,0,1562427913,25932198,36100340,0
