Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),641971404,792420426,2541683713,641478,1868780445,626822317,1
Euro (U.E.),174550467,13599263,227217,77970621,673535876,0,1
Real (Brasil),267205,0,86015,0,108000543,0,1
Dólar (Australia),32533054,0,9083750,282676,226094383,0,1
Boliviano (Bolivia),556059789,8288936,476547330,191083919,387403893,0,1
Dinar (argelia),8942274,4798916,21519309,4752294,6281578,0,1
Libra (Egipto),3230914,778461,0,4664390,10546662,0,1
Rupia (India),4104337,0,357509,97078,1378076,0,1
Otras monedas (los demás países),1135318,0,393569,0,201586,0,1
