Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),286280433,1678448604,3832936755,251167466,3823199341,853832038,1
Euro (U.E.),1113676383,320168618,467648418,168085223,2663887337,12568122,1
Real (Brasil),371680,0,0,0,234115,0,1
Dólar (Australia),70069218,140157337,320607,340491,387793687,0,1
Boliviano (Bolivia),1172510056,0,466873930,139770008,189909145,0,1
Libra (Egipto),532487,0,0,16474129,17179655,0,1
Dinar (argelia),1120417,0,290576315,8291203,4550452,0,1
Rupia (India),401683,0,2514004,249920,7460763,0,1
Otras monedas (los demás países),11453261,0,234280196,0,6436845,0,1
