Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),845215833,7828403510,77819675937,1746000000,35350143680,24379749397
Euro (U.E.),12958013962,4206579148,2305953620,0,13667778919,0
Boliviano (Bolivia),1300901585,0,9180350,148549309,858255086,0
Real (Brasil),299195,0,15413388908,0,244801279,0
Dólar (Australia),699445128,0,3737030,16561522,0,0
Libra (Egipto),198652791,0,4135373,139736161,277610868,0
Dinar (argelia),104854881,0,4042218211,128327710,67128812,0
Rupia (India),1905175,0,8893349,0,453737,0
Riyal (Arabia Saudita),21505798,0,21569968,9964575,28989228,0
Peso (Chile),0,0,1615625,0,0,0
Otras monedas (los demás países),6570027,0,586175141,0,428350,0
