Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),720246736,762174966,2453437973,396193,1639637270,688902196,1
Euro (U.E.),315398703,30885517,191208409,57903497,683397584,0,1
Real (Brasil),96600,0,1737,0,6714923,0,1
Dólar (Australia),27057028,0,8905972,279734,243047150,0,1
Boliviano (Bolivia),428328823,8384156,561878417,110212134,548048749,0,1
Libra (Egipto),678402,792142,0,5904873,12437542,0,1
Dinar (argelia),2925315,4208115,21142694,5220669,6080327,0,1
Rupia (India),2925296,0,222731.00,108674,4743024,0,1
Otras monedas (los demás países),385277,0,393602,0,552365,0,1
