Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),695024774,1899161473,15460379339,1215200000,29503381124,21270930706
Euro (U.E.),31512825986,8561923717,17629451753,5488497661,12314721112,0
Real (Brasil),4957335,0,0,0,1422343,0
Dólar (Australia),2584466026,1365004437,2038012,11637344,0,0
Boliviano (Bolivia),4305920672,0,16317146,100962692,1765830299,0
Libra (Egipto),59599793,0,0,60012099,10866518,0
Dinar (argelia),30948361,0,18673518,95644721,120196787,0
Rupia (India),1361899,0,5674876,3665231,0,0
Otras monedas (los demás países),7909781,0,1127050601,11310281,87413829,0
