Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),784594552,779967917,2118361820,461939,1793712690,701067843,1
Euro (U.E.),619836051,21288327,521200148,55673335,895175458,0,1
Real (Brasil),424249,0,2314973,0,4025099,0,1
Dólar (Australia),28726335,0,6248564,381359,265780656,0,1
Boliviano (Bolivia),304741890,8653855,468831137,161816515,740258812,0,1
Libra (Egipto),1252471,777951,0,5624070,11507822,0,1
Dinar (argelia),7430933,3607164,219404636,5846289,6320880,0,1
Rupia (India),2526935,0,339324,117817,692932,0,1
Otras monedas (los demás países),418944,0,0,0,3624327,0,1
