Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),1075202563,4271717082,52363336828,1547999999,25190082773,19386526907
Euro (U.E.),25012699796,6483091686,12651135906,7050018387,13309603888,0
Real (Brasil),5938368,0,0,0,1075512,0
Dólar (Australia),2324339656,1431790633,287976096,10347123,0,0
Boliviano (Bolivia),5582090862,0,1842791165,24245808,604376521,0
Libra (Egipto),9343064,0,0,66289926,7124277,0
Dinar (argelia),53856923,0,2743861723,86916795,114066425,0
Rupia (India),1420700,0,7412860,3824190,0,0
Otras monedas (los demás países),26193842,0,43904195,2212454998,99192797,0
