Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),327729231,1407910792,3501338474,3738247,3952449828,886905892,1
Euro (U.E.),1382579564.00,217147016,332008464,129188680,1963985039,12372977,1
Real (Brasil),323338,0,0,0,859858,0,1
Dólar (Australia),39521647,80152844,305952,268646,372743805,0,1
Boliviano (Bolivia),1008655817,0,520978185,135520381,344780096,0,1
Libra (Egipto),1313947,0,0,17126777,21085023,0,1
Dinar (argelia),1771720,0,283563166,8238095,4750838,0,1
Rupia (India),1410214,0,5173137,241056,6860542,0,1
Otras monedas (los demás países),10423825,0,90878916,0,329827,0,1
