Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),0,447414,36954954,935297569,31332152,0
Corona (Suecia),0,0,37224344,0,0,0
