Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),368850,175652,401,475969,388,0
Euro (U.E.),1438,2431,224,4963,0,0
Yen (Japón),0,64932,0,60999,0,0
