Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Real (Brasil),0,0,146,0,0,0,0
Dólar (E.U.A.),0,0,1067,76,19440,0,1
UVA (Argentina),0,0,0,0,27,51991,1
