Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,0.00,3825386,601298.00,11849041,7135184,1
Bolivar (Venezuela),0,0,0,0,4,0,1
Real (Brasil),0,0,11109,0,3491,0,1
Euro (U.E.),0,0.00,37953,284217,0,0,1
Guaraní (Paraguay),0,0,108673,0,0,0,1
Peso (Uruguay),0,0,64,0,0,0,1
Peso (Colombia),0,0,0,15913,0,0.00,1
