Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),19896,0,1755898,438536,14808285,8471629.00,1
Real (Brasil),20716,0,52077,60975,148035,0.00,1
Bolivar (Venezuela),141,0,474,257,710,0.00,1
Euro (U.E.),0,0,42517,485845,496514,0.00,1
Franco (Suiza),0,0,0,0,4126.00,0,1
Dólar (Canadá),0,0,0,0,23853.00,0,1
Guaraní (Paraguay),0,0,107096,0,0,0,1
Peso (Uruguay),0,0,71,0,0,0,1
