Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,0.00,1638523,4022.00,9785183,11196678.00,1
Real (Brasil),0.00,0.00,38204,2482,4046,0.00,1
UVA (Argentina),0,0,48198.00,68240.00,0,0,1
Bolivar (Venezuela),0,0,278,283,6.00,0,1
Guaraní (Paraguay),0,0,44953,0,0,0,1
Libra esterlina (Gran Bretaña),0,0,273,0,0,0,1
Dólar (Canadá),0,0,156,0,0,0,1
Peso (Uruguay),0,0,36,0,0,0,1
