Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),5887949,451927,17339155,0,54350875,330544174
Euro (U.E.),0,2585,0,0,0,0
