Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,136106,377339,0,5366224,0,1
Euro (U.E.),0,0,19210,0,5778,0,1
Franco (Suiza),0,0,0,0,40998,0,1
