Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Euro (U.E.),0,4500,7717,0,93057,0
Dólar (E.U.A.),0,278267,250388,0,6608855,0
