Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),878279609,9362676,236463995,109863831,162486928,29548902
Euro (U.E.),1982769,16816,841743,0,53228,395883
Real (Brasil),63300,0,0,0,0,0
Otras monedas (los demás países),763685,0,0,0,0,139989
