Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),0,54063,19632,167,65188,5199817
Libra esterlina (Gran Bretaña),0,0,209,0,13032,4561
