Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),3625677,20268078,35596454,104257,16835048,4452078,1
Euro (U.E.),0,814383,601466,1,13599,401124,1
Real (Brasil),0,18692.00,0,0,0,19.00,1
Otras monedas (los demás países),0,356466.00,0,1,418.00,8549,1
