Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,7587,23120,8086,10992,192938,1
Euro (U.E.),0,1900.00,11037,396,942,78211,1
Libra esterlina (Gran Bretaña),0,105,44,0,0,0,1
Rand (Unión Sudafricana),0,5947,25167,2,11113,144453,1
Dólar (Canadá),0,233,0,0,0,0,1
N. Sol (Perú),0,2533,8947,26685,1531,6359,1
Peso (Uruguay),0,2645,53181,20162,21087,12.00,1
