Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),5404750,8581,329113,0,18602626,5250725,1
Real (Brasil),1409,0,0,0,1932,0,1
Peso (Chile),128865,0,0,0,0,0,1
Libra esterlina (Gran Bretaña),0,0,6349,0,0,0,1
Euro (U.E.),0,0,4411,0,0,0,1
