Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),0,4285816,6563007,0,3013993,2960137
Euro (U.E.),0,3854,1248543,0,1027,0
Libra esterlina (Gran Bretaña),0,0,185633,0,0,0
Real (Brasil),0,1056,0,0,0,0
Boliviano (Bolivia),0,0,490,0,0,0
Yuan continental (China),0,1728,255676,0,0,0
Guaraní (Paraguay),0,178997,0,0,0,0
