Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),21375811,2747239,15849747,70057301,22022301,147008480
Real (Brasil),0,227467,710352,0,767418,0
Euro (U.E.),0,382,0,0,0,0
Yuan continental (China),0,0,0,0,0,512820
