Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),257,2.5,22.5,0,7.5,436.7
Euro (U.E.),0,0,0.1,0,0,0
