Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),0,15857,36582,7584,15518,326494
Dólar (Canadá),0,1,0,0,0,0
Peso (Chile),0,9,0,0,0,0
Euro (U.E.),0,136,3270,0,0,0
