Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),1120560,0,19489763,11259610,2444468.00,4789001.00,0
Euro (U.E.),0,0,469155,0,112990,0,0
Peso (Colombia),485000,0,0,0,0,0,0
Peso (Uruguay),1020.00,0,0,0,0,0,0
N. Sol (Perú),19.00,0,0,0,0,0,1
Peso (Chile),61610,0,0,0,0,0,1
Peso (México),3338.00,0,0,0,0,0,1
Rupia (India),4700,0,0,0,0,0,0
Real (Brasil),656,0,0,0,0,0,0
Franco (Suiza),63218,0,0,0,0,0,0
Libra esterlina (Gran Bretaña),0,0,1642,0,0,0,0
