Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),1269216,0,22923286,3117183,2031115,1700729,0
Euro (U.E.),365,0,440974,0,3487610,0,0
Peso (Colombia),205000,0,0,0,0,0,0
Peso (Uruguay),1019,0,0,0,0,0,0
N. Sol (Perú),19,0,0,0,0,0,0
Peso (Chile),60500,0,0,0,0,0,0
Peso (México),3328,0,0,0,0,0,0
Rupia (India),4700,0,0,0,0,0,0
Libra esterlina (Gran Bretaña),0,0,0,0,27180,0,0
Franco (Suiza),0,0,0,0,54755,0,0
