Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),74099969,0,13330098,0,34560,119510300
Euro (U.E.),0,0,3077659,0,0,0
Real (Brasil),0,0,2540,0,0,0
