Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,551414521,0,464212507,0,0,0
Euro (U.E.),0,5932917,0,2243894,0,0,0
Real (Brasil),0,70412,0,0,0,0,0
Otras monedas (los demás países),0,394190,0,201728,0,0,0
