Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),30787,0,9550,146542,0,0
Euro (U.E.),0,0,3,0,0,0
Yuan continental (China),0,0,480,0,0,0
