Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),1313,0,1657,7084,4985,155003,1
Guaraní (Paraguay),0,0,0,0,0,2570238,1
Euro (U.E.),0,0,327,0,0,0,1
Real (Brasil),57462,98465,8904,18854,85444,7354,1
