Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,191273,6961859,6222,12354502,10796152,1
Euro (U.E.),0,499820,6775,0,100006,0,1
Real (Brasil),0,420151,567628,79660,2027398,1300288,1
