Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),0,0,1016680876,24128000,1904007875,2381850008,1
UVA (Argentina),0,0,4581147,0,50819170,0,1
Real (Brasil),0,0,90637058,9942020,314858025,75252145,1
Guaraní (Paraguay),0,0,57643335,0,24904916,1356834,1
Boliviano (Bolivia),0,0,244599,1332233,61943711,0,1
Peso (Colombia),0,0,17466625,0,5176245,0,1
Rupia (India),0,0,843677,0,876786,0,1
Peso (Uruguay),0,0,4405944,0,0,0,1
Rand (Unión Sudafricana),0,0,0,53166,0,0,1
