Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),22498,0,7003,8588,12859,98812,1
Euro (U.E.),131,0,158,0,819,0,1
Franco (Suiza),0,0,2,0,0,0.00,1
