Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),1569901,0,262023,125106,282451,2127419
Euro (U.E.),1,0,2263,0,0,0
Corona (República Checa),0,0,423,0,0,0
Peso (Uruguay),0,0,4,0,5,0
Peso (Chile),0,0,639,1,2576,0
