Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),0,3706548,39059036,31917258,20785313,346243462.00
Euro (U.E.),0,0,0,0,13993711,0
