Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),963670202,5004105005,8339963193,682216189,3509812432,316040
Euro (U.E.),1568866,27516062,0,15327860,5204071,0
Real (Brasil),394379,0,0,0,0,0
