Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),260614830,60892331,309115078,33804944,67368382,0
Euro (U.E.),0,30684,18300,0,44152,0
