Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),46338549,88330189,122599733,0,24849192,686,1
Euro (U.E.),0,16696,2622,0,0,0,1
