Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),4533,13479,463035,115,164997.00,0
Euro (U.E.),0,2167,0,0,0,0
