Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),15554,1099085,124955,0,192756,1696125,1
Euro (U.E.),0,2167,0,0,0,0,1
