Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),4501,0,7358,36791,1880,0,1
UVA (Argentina),0,0,36,0,138,0,1
Libra esterlina (Gran Bretaña),48,0,0,0,0,0,1
