Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),84415138,97720954,189908202,17017562,76549105,16508603
Euro (U.E.),0,279917,90716,24267,291946,516051
Real (Brasil),0,19404,0,0,0,0
Otras monedas (los demás países),0,164791,0,50891,0,0
