Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),1428156,7982196,11693793,835742,3155948,152082,1
Euro (U.E.),0,102545,7180,2114,0,0,1
Real (Brasil),0,1920,0,0,0,0,1
Otras monedas (los demás países),0,18556,0,38,0,0,1
